ID	periodo	temp	tipo 
185	0.0155	27	descanso
190	0.0056	16	descanso
195	0.0145	17	descanso
199	0.0091	14	descanso
213	0.0074	17	descanso
222	0.0055	13	descanso
307	0.0052	23	descanso
311	0.0080	22	descanso
329	0.0050	21	descanso
341	0.0359	37	descanso
381	0.0108	23	descanso
401	0.0083	21	descanso
416	0.0048	24	descanso
463	0.0292	24	descanso
495	0.0041	20	descanso
496	0.0038	17	descanso
504	0.0372	22	descanso
552	0.0083	22	descanso
554	0.0333	25	descanso
557	0.0068	25	descanso
560	0.0365	24	descanso
563	0.0053	18	descanso
567	0.0394	21	descanso
569	0.0110	21	descanso
585	0.0351	25	descanso
622	0.0366	16	descanso
623	0.0059	16	descanso
669	0.0044	13	descanso
670	0.0111	11	descanso
678	0.0049	26	descanso
680	0.0036	18	descanso
684	0.0345	44	descanso
689	0.0140	15	descanso
736	0.0058	23	descanso
737	0.0056	25	descanso
775	0.0053	21	descanso
795	0.0050	26	descanso
802	0.0242	26	descanso
803	0.0089	25	descanso
820	0.0315	11	descanso
823	0.0131	16	descanso
829	0.0086	15	descanso
875	0.0053	26	descanso
876	0.0080	31	descanso
879	0.0083	24	descanso
886	0.0082	23	descanso
926	0.0343	54	descanso
932	0.0045	27	descanso
967	0.0036	26	descanso
970	0.0195	13	descanso
981	0.0326	22	descanso
985	0.0167	24	descanso
993	0.0035	18	descanso
1024	0.0089	17	descanso
1041	0.0039	20	descanso
1043	0.0219	19	descanso
1070	0.0228	27	descanso
1100	0.0049	32	descanso
1110	0.0045	31	descanso
1126	0.0260	23	descanso
537	0.0832	17	descanso
683	0.1058	36	descanso
101	0.1288	19.5	descanso
740	0.1295	24.5	descanso
771	0.1489	12	descanso
163	0.1707	31.5	descanso
225	0.1793	29	descanso
1055	0.1928	41.5	descanso
685	0.1988	32.5	descanso
755	0.2099	15	descanso
355	0.2120	29	descanso
911	0.2142	28.5	descanso
200	0.2253	29	descanso
818	0.2368	19	descanso
640	0.2369	27	descanso
1080	0.2373	28.5	descanso
376	0.2461	25	descanso
486	0.2506	28.5	descanso
1081	0.2644	44.5	descanso
643	0.2692	32.5	descanso
315	0.2737	43	descanso
811	0.2745	19.5	descanso
1056	0.3063	33	descanso
447	0.3237	31	descanso
98	0.0461	22	descanso
220	0.0718	15	descanso
256	0.1271	22	descanso
266	0.1241	30	descanso
306	0.0987	35	descanso
360	0.0922	23	descanso
394	0.0464	24	descanso
445	0.1450	26	descanso
456	0.0465	23	descanso
457	0.1667	24	descanso
500	0.0691	34	descanso
652	0.0549	13	descanso
667	0.0628	17	descanso
676	0.0478	10	descanso
769	0.0459	17	descanso
792	0.0829	34	descanso
817	0.1266	34	descanso
828	0.0528	27	descanso
832	0.1097	38	descanso
887	0.0505	22	descanso
1026	0.0448	17	descanso
13	0.3390	34	dormir
46	0.7338	21.5	dormir
84	0.6842	23	dormir
131	0.6228	22.5	dormir
139	0.6549	23.5	dormir
158	0.7429	24.5	dormir
161	0.7819	24	dormir
166	0.9105	26	dormir
179	0.8245	19	dormir
181	0.7158	22.5	dormir
194	0.4251	14	dormir
197	0.7129	17	dormir
204	0.7241	31.5	dormir
210	0.6877	23	dormir
229	0.6230	23.5	dormir
236	0.7684	16	dormir
240	0.7369	17	dormir
242	0.7516	19	dormir
244	0.7939	18.5	dormir
246	0.7920	19	dormir
248	0.7573	18	dormir
250	0.7076	20.5	dormir
252	0.7176	18.5	dormir
254	0.7664	19	dormir
260	0.7697	15	dormir
262	0.7936	20	dormir
265	0.7512	23.5	dormir
272	0.6088	21.5	dormir
274	0.5708	25	dormir
278	0.5811	24	dormir
281	0.5519	21.5	dormir
285	0.4668	21	dormir
289	0.6808	24.5	dormir
293	0.7533	29.5	dormir
298	0.6947	21	dormir
300	0.5913	26	dormir
304	0.7808	29	dormir
309	0.5946	26	dormir
317	0.7228	23.5	dormir
319	0.8197	23	dormir
320	0.7395	27	dormir
325	0.6861	25	dormir
336	0.8472	26.5	dormir
342	0.6803	31	dormir
344	0.7069	27	dormir
350	0.7559	22	dormir
353	0.4786	32.5	dormir
357	0.7297	26	dormir
362	0.5475	27	dormir
370	0.7333	22.5	dormir
374	0.8013	23	dormir
378	0.6620	24	dormir
383	0.8497	20	dormir
406	0.7049	23	dormir
409	0.6399	24	dormir
411	0.6552	24	dormir
420	0.7137	23	dormir
436	0.9289	22	dormir
452	0.6498	24.5	dormir
461	0.7316	24	dormir
479	0.7297	22.5	dormir
488	0.5805	20	dormir
493	0.4264	22	dormir
502	0.5555	25	dormir
505	0.6778	22	dormir
507	0.6656	23.5	dormir
510	0.5369	26.5	dormir
513	0.7259	19.5	dormir
515	0.7500	21.5	dormir
528	0.7854	18.5	dormir
532	0.6221	17	dormir
534	0.6425	19	dormir
549	0.6943	19	dormir
609	0.6443	21	dormir
673	0.6623	13	dormir
681	0.3950	27.5	dormir
687	0.7086	17	dormir
691	0.7526	19	dormir
693	0.6904	22	dormir
694	0.6784	24	dormir
696	0.6491	21	dormir
699	0.8240	17	dormir
700	0.6219	21.5	dormir
702	0.7354	13	dormir
705	0.7405	18.5	dormir
707	0.5765	21.5	dormir
709	0.5046	23	dormir
712	0.6283	22.5	dormir
715	0.5473	23	dormir
718	0.7363	21.5	dormir
719	0.6006	21	dormir
722	0.5577	16.5	dormir
724	0.7836	16.5	dormir
730	0.6246	21	dormir
732	0.6538	22	dormir
743	0.7832	33	dormir
760	0.6961	22	dormir
766	0.5247	18.5	dormir
773	0.7145	23	dormir
777	0.7220	23	dormir
786	0.6437	30	dormir
790	0.6446	16	dormir
808	0.5883	12	dormir
812	0.6971	16.5	dormir
821	0.6811	23	dormir
830	0.6401	23	dormir
846	0.8724	21.5	dormir
856	0.7156	25	dormir
857	0.7977	24	dormir
872	0.6224	28	dormir
882	0.8437	23.5	dormir
893	0.7514	29	dormir
895	0.7118	25	dormir
899	0.7560	22	dormir
901	0.5694	26	dormir
909	0.7648	23	dormir
912	0.5555	27.5	dormir
914	0.6292	24.5	dormir
924	0.7640	28.5	dormir
928	0.7541	29	dormir
940	0.7789	25	dormir
943	0.6618	24.5	dormir
945	0.8443	26.5	dormir
963	0.5443	29	dormir
977	0.8113	14.5	dormir
982	0.7906	23	dormir
994	0.7480	17.5	dormir
996	0.6477	18.5	dormir
1010	0.6019	19.5	dormir
1012	0.7343	19	dormir
1015	0.7040	17.5	dormir
1028	0.8126	19	dormir
1033	0.8693	22.5	dormir
1034	0.8055	23.5	dormir
1045	0.5989	23	dormir
1059	0.6848	24	dormir
1061	0.8496	20	dormir
1073	0.6564	24.5	dormir
1076	0.7828	24	dormir
1078	0.5745	26	dormir
1082	0.4319	40.5	dormir
1087	0.8231	26.5	dormir
1096	0.7846	26	dormir
1141	0.5818	27.5	dormir
1145	0.6999	22	dormir
1153	0.8464	23	dormir
1157	0.6994	23	dormir
0	0.6610	0	fora
0	0.2661	0	fora
0	0.3158	0	fora
0	0.3772	0	fora
0	0.3451	0	fora
0	0.2571	0	fora
0	0.2181	0	fora
0	0.0895	0	fora
0	0.1755	0	fora
0	0.2842	0	fora
0	0.5749	0	fora
0	0.2871	0	fora
0	0.2759	0	fora
0	0.3123	0	fora
0	0.3770	0	fora
0	0.2315	0	fora
0	0.2631	0	fora
0	0.2484	0	fora
